subject,index,n_since_last_click,channel
11,1,0,26
11,1,0,27
11,1,0,28
11,1,0,51
11,2,0,26
11,2,0,27
11,2,0,28
11,2,0,51
11,3,4,26
11,3,4,27
11,3,4,28
11,3,4,51
11,4,0,26
11,4,0,27
11,4,0,28
11,4,0,51
11,5,0,26
11,5,0,27
11,5,0,28
11,5,0,51
11,6,0,26
11,6,0,27
11,6,0,28
11,6,0,51
11,7,10,26
11,7,10,27
11,7,10,28
11,7,10,51
11,8,13,26
11,8,13,27
11,8,13,28
11,8,13,51
11,9,10,26
11,9,10,27
11,9,10,28
11,9,10,51
11,10,0,26
11,10,0,27
11,10,0,28
11,10,0,51
11,11,0,26
11,11,0,27
11,11,0,28
11,11,0,51
11,12,1,26
11,12,1,27
11,12,1,28
11,12,1,51
11,13,6,26
11,13,6,27
11,13,6,28
11,13,6,51
11,14,2,27
11,14,2,28
11,14,2,51
11,15,8,26
11,15,8,27
11,15,8,28
11,15,8,51
11,16,0,26
11,16,0,27
11,16,0,28
11,16,0,51
11,17,0,27
11,17,0,28
11,17,0,51
11,18,0,27
11,18,0,28
11,19,10,26
11,19,10,27
11,19,10,28
11,19,10,51
11,20,3,26
11,20,3,27
11,20,3,28
11,20,3,51
11,21,0,26
11,21,0,27
11,21,0,28
11,21,0,51
11,22,0,26
11,22,0,27
11,22,0,28
11,22,0,51
11,23,0,26
11,23,0,27
11,23,0,28
11,23,0,51
11,24,7,26
11,24,7,27
11,24,7,28
11,24,7,51
11,25,3,26
11,25,3,27
11,25,3,28
11,25,3,51
11,26,3,26
11,26,3,27
11,26,3,28
11,26,3,51
11,27,10,26
11,27,10,27
11,27,10,28
11,27,10,51
11,28,0,26
11,28,0,27
11,28,0,28
11,28,0,51
11,29,0,26
11,29,0,27
11,29,0,28
11,29,0,51
11,30,0,26
11,30,0,27
11,30,0,28
11,30,0,51
11,31,0,26
11,31,0,27
11,31,0,28
11,31,0,51
11,32,0,26
11,32,0,27
11,32,0,28
11,32,0,51
11,33,4,27
11,33,4,28
11,33,4,51
11,34,8,27
11,34,8,28
11,34,8,51
11,35,0,26
11,35,0,27
11,35,0,28
11,35,0,51
11,36,5,26
11,36,5,27
11,36,5,28
11,36,5,51
11,37,9,26
11,37,9,27
11,37,9,28
11,37,9,51
11,38,7,26
11,38,7,27
11,38,7,28
11,38,7,51
11,39,0,26
11,39,0,27
11,39,0,28
11,39,0,51
11,40,8,26
11,40,8,28
11,40,8,51
11,41,11,26
11,41,11,28
11,41,11,51
11,42,6,26
11,42,6,27
11,42,6,28
11,42,6,51
11,43,1,26
11,43,1,27
11,43,1,28
11,43,1,51
11,44,4,26
11,44,4,27
11,44,4,28
11,44,4,51
11,45,14,26
11,45,14,27
11,45,14,28
11,45,14,51
11,46,0,26
11,46,0,27
11,46,0,28
11,46,0,51
11,47,0,26
11,47,0,27
11,47,0,28
11,47,0,51
11,48,8,26
11,48,8,27
11,48,8,28
11,48,8,51
11,49,3,26
11,49,3,27
11,49,3,28
11,49,3,51
11,50,6,26
11,50,6,27
11,50,6,28
11,50,6,51
11,51,1,26
11,51,1,27
11,51,1,28
11,51,1,51
11,52,8,26
11,52,8,27
11,52,8,28
11,52,8,51
11,53,16,26
11,53,16,51
11,54,0,26
11,54,0,27
11,54,0,28
11,54,0,51
11,55,18,26
11,55,18,27
11,55,18,28
11,55,18,51
11,56,6,26
11,56,6,27
11,56,6,28
11,57,15,26
11,57,15,27
11,57,15,28
11,57,15,51
11,58,13,26
11,58,13,27
11,58,13,28
11,58,13,51
11,59,0,27
11,60,6,26
11,60,6,27
11,60,6,28
11,60,6,51
11,61,12,26
11,61,12,27
11,61,12,28
11,61,12,51
11,62,11,26
11,62,11,27
11,62,11,28
11,62,11,51
11,63,4,26
11,63,4,28
11,63,4,51
11,64,8,26
11,64,8,27
11,64,8,28
11,64,8,51
11,65,11,26
11,65,11,27
11,65,11,28
11,65,11,51
11,66,15,26
11,66,15,27
11,66,15,28
11,66,15,51
11,67,22,26
11,67,22,27
11,67,22,28
11,67,22,51
11,68,7,26
11,68,7,27
11,68,7,28
11,68,7,51
11,69,1,26
11,69,1,27
11,69,1,28
11,69,1,51
11,70,14,26
11,70,14,27
11,70,14,51
11,71,1,26
11,71,1,27
11,71,1,28
11,71,1,51
11,72,8,26
11,72,8,27
11,72,8,28
11,72,8,51
11,73,28,26
11,73,28,27
11,73,28,28
11,73,28,51
11,74,25,26
11,74,25,27
11,74,25,28
11,74,25,51
11,75,10,26
11,75,10,28
11,75,10,51
11,76,21,26
11,76,21,27
11,76,21,28
11,76,21,51
11,77,11,26
11,77,11,27
11,77,11,28
11,77,11,51
11,78,1,26
11,78,1,27
11,78,1,28
11,78,1,51
11,79,10,26
11,79,10,27
11,79,10,28
11,79,10,51
11,80,9,26
11,80,9,27
11,80,9,28
11,80,9,51
11,81,3,26
11,81,3,27
11,81,3,28
11,81,3,51
11,82,0,26
11,82,0,27
11,82,0,28
11,82,0,51
11,83,8,26
11,83,8,27
11,83,8,28
11,84,4,26
11,84,4,27
11,84,4,28
11,84,4,51
11,85,5,26
11,85,5,27
11,85,5,28
11,85,5,51
11,86,0,26
11,86,0,27
11,86,0,28
11,86,0,51
11,87,6,26
11,87,6,27
11,87,6,28
11,87,6,51
11,88,9,26
11,88,9,27
11,88,9,28
11,88,9,51
11,89,0,27
11,89,0,28
11,89,0,51
11,90,0,26
11,90,0,27
11,90,0,28
11,90,0,51
11,91,0,26
11,91,0,27
11,91,0,28
11,91,0,51
11,93,0,26
11,93,0,27
11,93,0,28
11,93,0,51
11,94,0,26
11,94,0,27
11,94,0,28
11,94,0,51
11,95,0,26
11,95,0,27
11,95,0,28
11,95,0,51
11,96,9,26
11,96,9,27
11,96,9,28
11,96,9,51
11,97,1,26
11,97,1,27
11,97,1,28
11,97,1,51
11,98,18,27
11,98,18,28
11,99,0,26
11,99,0,27
11,99,0,28
11,99,0,51
11,100,0,26
11,100,0,27
11,100,0,28
11,100,0,51
11,101,12,26
11,101,12,27
11,101,12,28
11,101,12,51
11,102,0,26
11,102,0,27
11,102,0,28
11,102,0,51
11,103,0,26
11,103,0,27
11,103,0,28
11,103,0,51
11,104,29,26
11,104,29,27
11,104,29,28
11,104,29,51
11,105,8,26
11,105,8,27
11,105,8,28
11,105,8,51
11,106,23,26
11,106,23,27
11,106,23,28
11,106,23,51
11,107,14,27
11,107,14,28
11,107,14,51
11,108,31,28
11,108,31,51
11,109,21,26
11,110,8,26
11,110,8,27
11,110,8,28
11,110,8,51
11,111,15,26
11,111,15,27
11,111,15,28
11,111,15,51
11,112,11,26
