subject,index,n_since_last_click,channel
3,1,0,2
3,1,0,26
3,2,0,2
3,3,2,2
3,3,2,26
3,4,0,2
3,4,0,26
3,5,0,2
3,5,0,26
3,6,0,2
3,6,0,26
3,7,0,2
3,7,0,26
3,8,2,2
3,8,2,26
3,9,2,2
3,9,2,26
3,10,2,2
3,10,2,26
3,11,2,2
3,12,1,2
3,12,1,26
3,13,0,26
3,14,2,2
3,14,2,26
3,15,2,2
3,15,2,26
3,16,0,2
3,16,0,26
3,17,12,2
3,17,12,26
3,18,1,26
3,19,7,2
3,19,7,26
3,20,1,2
3,21,0,2
3,21,0,26
3,22,1,2
3,22,1,26
3,23,0,2
3,23,0,26
3,24,0,2
3,24,0,26
3,25,0,2
3,25,0,26
3,26,10,2
3,26,10,26
3,27,0,2
3,27,0,26
3,29,2,2
3,29,2,26
3,30,2,26
3,31,1,2
3,31,1,26
3,32,7,2
3,32,7,26
3,33,1,2
3,33,1,26
3,34,0,26
3,35,2,2
3,35,2,26
3,36,12,2
3,37,0,2
3,38,0,2
3,38,0,26
3,39,0,2
3,39,0,26
3,40,2,2
3,40,2,26
3,41,9,2
3,41,9,26
3,42,0,26
3,43,2,2
3,43,2,26
3,44,0,2
3,44,0,26
3,45,0,2
3,46,0,2
3,46,0,26
3,47,0,2
3,47,0,26
3,48,2,2
3,48,2,26
3,49,2,2
3,49,2,26
3,50,0,2
3,50,0,26
3,51,0,2
3,51,0,26
3,52,3,2
3,52,3,26
3,53,1,2
3,53,1,26
3,54,2,2
3,54,2,26
3,55,2,2
3,55,2,26
3,56,23,2
3,56,23,26
3,57,0,2
3,57,0,26
3,58,1,2
3,58,1,26
3,59,6,2
3,59,6,26
3,60,1,2
3,61,4,2
3,61,4,26
3,62,1,2
3,62,1,26
3,63,4,2
3,63,4,26
3,64,0,2
3,64,0,26
3,65,0,2
3,65,0,26
3,66,2,2
3,66,2,26
3,67,1,2
3,67,1,26
3,68,10,2
3,68,10,26
3,69,0,2
3,69,0,26
3,70,2,2
3,70,2,26
3,71,2,2
3,71,2,26
3,72,3,2
3,72,3,26
3,73,0,2
3,73,0,26
3,74,0,2
3,74,0,26
3,75,0,2
3,75,0,26
3,76,0,2
3,76,0,26
3,77,0,2
3,77,0,26
3,78,11,2
3,78,11,26
3,79,11,2
3,79,11,26
3,80,0,2
3,80,0,26
3,82,2,2
3,82,2,26
3,83,0,2
3,83,0,26
3,84,0,2
3,84,0,26
3,85,0,26
3,86,1,2
3,86,1,26
3,87,2,2
3,87,2,26
3,88,0,2
3,88,0,26
3,89,1,2
3,89,1,26
3,90,2,26
3,91,2,2
3,92,0,2
3,92,0,26
3,93,1,2
3,93,1,26
3,94,0,2
3,94,0,26
3,95,0,2
3,95,0,26
3,96,0,26
3,97,0,2
3,97,0,26
3,98,0,2
3,98,0,26
3,99,0,2
3,100,2,2
3,100,2,26
3,101,2,2
3,101,2,26
3,102,0,2
3,102,0,26
3,103,2,2
3,103,2,26
3,104,0,2
3,104,0,26
3,105,2,2
3,105,2,26
3,106,0,2
3,106,0,26
3,107,0,26
3,108,2,2
3,108,2,26
3,110,0,2
3,111,0,2
3,111,0,26
3,112,2,2
3,112,2,26
3,113,31,2
3,113,31,26
3,114,1,2
3,114,1,26
3,115,4,2
3,115,4,26
3,116,9,2
3,116,9,26
3,117,2,26
3,118,60,2
3,118,60,26
3,119,3,2
3,119,3,26
3,120,19,2
3,120,19,26
3,121,0,2
3,121,0,26
3,122,0,26
3,123,0,2
3,123,0,26
3,124,0,2
3,124,0,26
3,125,0,2
3,126,2,2
3,126,2,26
3,127,2,2
3,127,2,26
3,128,0,2
3,128,0,26
3,129,2,2
3,129,2,26
3,130,2,2
3,130,2,26
3,131,0,2
3,132,0,2
3,132,0,26
3,133,2,2
3,133,2,26
3,134,2,2
3,134,2,26
3,135,2,2
3,135,2,26
3,136,0,2
3,137,0,2
3,137,0,26
3,138,2,2
3,138,2,26
3,139,2,2
3,139,2,26
3,140,2,2
3,140,2,26
3,141,0,2
3,141,0,26
3,142,21,2
3,143,7,2
3,143,7,26
3,144,13,2
3,144,13,26
3,145,1,2
3,146,0,26
3,147,0,2
3,147,0,26
3,148,1,2
3,148,1,26
3,149,1,26
3,150,0,2
3,150,0,26
3,151,1,2
3,152,1,2
3,152,1,26
3,153,2,2
3,154,2,2
3,154,2,26
3,155,2,2
3,155,2,26
3,156,2,2
3,156,2,26
3,157,29,2
3,157,29,26
3,158,20,2
3,158,20,26
3,159,19,26
3,160,30,2
3,160,30,26
3,161,13,2
3,161,13,26
3,162,0,26
3,163,2,2
3,163,2,26
3,164,2,2
3,164,2,26
3,165,2,2
3,165,2,26
3,166,2,2
3,166,2,26
3,167,2,2
3,167,2,26
3,168,0,2
3,169,2,2
3,169,2,26
3,170,2,26
3,171,31,2
3,171,31,26
3,172,0,2
3,172,0,26
3,173,0,2
3,173,0,26
3,174,15,2
3,174,15,26
3,175,21,2
3,175,21,26
3,176,50,2
3,177,8,2
3,177,8,26
3,178,29,2
3,178,29,26
3,179,0,2
3,180,0,2
3,180,0,26
3,181,1,2
3,181,1,26
3,182,4,2
3,182,4,26
3,183,2,2
3,183,2,26
3,184,2,2
3,184,2,26
3,185,15,2
3,185,15,26
3,186,24,2
3,186,24,26
3,187,24,2
3,187,24,26
3,188,24,2
3,188,24,26
3,189,10,2
3,189,10,26
3,190,0,2
3,190,0,26
3,191,1,26
3,192,2,2
3,192,2,26
3,193,10,2
3,193,10,26
3,194,15,2
3,195,19,2
3,195,19,26
3,196,23,2
3,196,23,26
3,197,0,2
3,198,1,2
3,198,1,26
3,199,7,2
3,199,7,26
3,200,11,2
3,201,15,26
3,202,8,26
3,203,0,26
3,204,0,2
3,204,0,26
3,205,1,2
3,205,1,26
3,206,11,2
3,206,11,26
3,207,1,2
3,207,1,26
3,208,0,2
3,208,0,26
3,209,2,2
3,209,2,26
3,210,21,2
3,210,21,26
3,211,57,26
3,212,45,2
3,212,45,26
3,213,0,2
3,213,0,26
3,215,6,2
3,215,6,26
3,216,46,2
3,217,6,26
3,218,0,2
3,218,0,26
3,219,8,2
3,219,8,26
3,220,0,2
3,220,0,26
3,221,23,2
3,221,23,26
3,222,0,2
3,222,0,26
3,223,15,2
3,223,15,26
3,224,0,2
3,224,0,26
3,225,0,2
3,226,2,2
3,226,2,26
3,227,2,2
3,227,2,26
3,228,2,2
3,228,2,26
3,229,0,2
3,229,0,26
3,230,42,2
3,230,42,26
3,231,1,2
3,231,1,26
3,232,23,2
3,232,23,26
3,233,1,2
3,233,1,26
3,234,0,2
3,234,0,26
3,235,0,2
3,235,0,26
3,236,0,2
3,236,0,26
3,237,0,2
3,237,0,26
3,238,8,2
3,238,8,26
3,239,2,26
3,240,6,2
3,240,6,26
3,241,0,2
3,241,0,26
3,242,0,2
3,242,0,26
3,243,0,2
3,244,0,2
3,244,0,26
3,246,20,2
3,246,20,26
3,247,14,2
3,247,14,26
3,248,0,2
3,248,0,26
3,249,0,2
3,249,0,26
3,250,2,2
3,252,26,2
3,252,26,26
3,253,0,2
3,253,0,26
3,254,0,2
3,254,0,26
3,255,7,2
3,255,7,26
3,256,0,26
3,257,0,26
3,258,0,2
3,259,28,26
3,260,0,2
3,260,0,26
3,261,1,2
3,261,1,26
3,262,15,2
3,262,15,26
3,263,1,2
3,263,1,26
3,264,0,2
3,264,0,26
3,265,0,26
3,266,2,2
3,266,2,26
3,267,33,2
3,267,33,26
3,268,49,2
3,268,49,26
3,269,0,2
3,269,0,26
3,270,0,2
3,270,0,26
3,271,0,2
3,271,0,26
3,272,0,2
3,272,0,26
3,273,0,2
3,273,0,26
3,274,1,2
3,275,30,2
3,275,30,26
3,276,38,2
3,276,38,26
3,277,18,2
3,277,18,26
3,278,1,2
3,278,1,26
3,279,10,2
3,279,10,26
3,280,0,2
3,280,0,26
3,281,0,2
3,281,0,26
3,282,0,2
3,283,0,2
3,283,0,26
3,284,17,2
3,284,17,26
3,285,0,2
3,285,0,26
3,286,2,2
3,286,2,26
3,287,0,2
3,287,0,26
3,288,2,2
3,288,2,26
3,289,2,26
3,290,2,2
3,290,2,26
3,291,2,2
3,291,2,26
3,292,0,2
3,292,0,26
3,293,1,2
3,293,1,26
3,294,7,2
3,295,1,2
3,295,1,26
3,296,0,2
3,296,0,26
3,297,15,2
3,297,15,26
3,298,2,2
3,298,2,26
3,299,32,2
3,299,32,26
3,300,1,2
3,300,1,26
3,301,69,26
3,302,125,2
3,302,125,26
3,303,117,2
3,304,37,2
3,304,37,26
3,305,1,2
3,306,35,2
3,306,35,26
3,307,19,2
3,307,19,26
3,308,19,2
3,308,19,26
3,309,3,2
3,309,3,26
3,310,12,2
3,310,12,26
3,311,68,2
3,311,68,26
3,312,5,2
3,312,5,26
3,313,1,2
3,313,1,26
3,314,14,26
3,315,7,2
3,316,0,2
3,316,0,26
3,317,0,2
3,317,0,26
3,318,1,2
3,318,1,26
3,319,2,2
3,320,2,2
3,320,2,26
3,321,2,2
3,322,2,26
3,323,2,2
3,323,2,26
3,324,2,2
3,324,2,26
3,325,2,2
3,325,2,26
3,326,1,2
3,326,1,26
3,327,4,2
3,327,4,26
3,328,0,2
3,328,0,26
3,329,0,2
3,329,0,26
3,330,0,2
3,330,0,26
3,331,0,2
3,331,0,26
3,332,1,2
3,333,27,2
3,333,27,26
3,334,1,2
3,334,1,26
3,335,2,2
3,335,2,26
3,336,0,2
3,336,0,26
3,337,1,2
3,337,1,26
3,338,2,2
3,339,2,2
3,339,2,26
3,340,8,2
3,340,8,26
3,341,2,2
3,341,2,26
3,342,0,2
3,342,0,26
3,343,0,2
3,344,0,2
3,345,0,26
3,346,0,2
3,346,0,26
3,347,1,2
3,347,1,26
3,348,0,2
3,348,0,26
3,349,43,2
3,349,43,26
3,350,1,2
3,350,1,26
3,351,13,2
3,351,13,26
3,352,13,2
3,352,13,26
3,353,14,2
3,353,14,26
3,354,10,2
3,354,10,26
3,355,10,2
3,355,10,26
3,356,0,2
3,356,0,26
3,357,0,2
3,357,0,26
3,358,0,26
3,359,0,2
3,359,0,26
3,360,0,2
3,360,0,26
3,361,1,2
3,361,1,26
3,362,2,2
3,362,2,26
3,363,2,26
3,364,2,2
3,364,2,26
3,365,2,2
3,365,2,26
3,366,0,2
3,366,0,26
3,367,2,2
3,368,0,26
3,369,0,2
3,369,0,26
3,370,1,2
3,370,1,26
3,371,2,2
3,371,2,26
3,372,2,2
3,372,2,26
3,373,2,2
3,373,2,26
3,374,0,2
3,374,0,26
3,375,1,26
3,376,2,2
3,376,2,26
3,377,2,2
3,377,2,26
3,378,2,2
3,378,2,26
3,379,2,2
3,379,2,26
3,380,1,2
3,380,1,26
3,381,61,2
3,382,1,2
3,383,0,2
3,383,0,26
3,384,0,26
3,385,0,2
3,385,0,26
3,386,0,2
3,386,0,26
3,387,23,2
3,387,23,26
3,388,40,2
3,388,40,26
3,390,71,2
3,390,71,26
3,391,6,2
3,391,6,26
3,392,135,2
3,392,135,26
3,393,79,2
3,393,79,26
3,394,2,2
3,395,12,2
3,395,12,26
3,396,111,2
3,396,111,26
3,397,1,26
3,398,48,2
3,398,48,26
3,399,16,2
3,399,16,26
3,400,45,2
3,400,45,26
3,401,42,2
3,401,42,26
3,402,120,2
3,403,1,2
3,403,1,26
3,404,21,2
3,404,21,26
3,405,6,2
3,405,6,26
3,406,28,2
3,406,28,26
3,407,29,26
3,408,18,2
3,408,18,26
3,409,29,26
3,410,124,26
3,411,30,2
3,411,30,26
3,412,9,2
3,412,9,26
3,413,25,2
3,413,25,26
3,414,17,2
3,414,17,26
3,415,0,2
3,415,0,26
3,416,0,2
3,417,3,2
3,417,3,26
3,418,0,2
3,418,0,26
3,419,0,2
3,419,0,26
3,420,6,2
3,420,6,26
3,421,0,2
3,421,0,26
3,422,0,2
3,422,0,26
3,423,11,2
3,423,11,26
3,424,11,2
3,424,11,26
3,425,0,26
3,426,1,2
3,426,1,26
3,427,0,2
3,427,0,26
3,428,0,2
3,428,0,26
3,429,0,2
3,429,0,26
3,430,0,2
3,430,0,26
3,431,1,2
3,431,1,26
3,432,23,2
3,433,21,2
3,433,21,26
3,434,21,2
3,434,21,26
3,435,27,2
3,435,27,26
3,436,22,2
3,436,22,26
3,437,5,2
3,437,5,26
3,439,1,2
3,440,17,2
3,441,1,2
3,441,1,26
3,442,0,2
3,442,0,26
3,443,29,26
3,444,29,26
3,445,28,2
3,445,28,26
3,446,0,2
3,446,0,26
3,447,0,2
3,447,0,26
3,448,0,2
3,448,0,26
3,449,0,2
3,449,0,26
3,450,2,2
3,450,2,26
3,451,18,2
3,451,18,26
3,452,1,2
3,453,4,2
3,453,4,26
3,454,0,2
3,454,0,26
3,455,0,2
3,455,0,26
3,456,1,2
3,456,1,26
3,457,48,2
3,458,49,2
3,458,49,26
3,459,45,2
3,459,45,26
3,460,0,2
3,460,0,26
3,461,5,2
3,461,5,26
3,462,53,2
3,462,53,26
3,463,72,2
3,463,72,26
