subject,KL_all,KL_no0,best_t,best_KL
1,1.493423726126773,0.6160208107631628,67,0.036249671134715465
2,1.169132675203059,0.5196248276059465,82,0.1077899593188652
3,1.4101659945020961,0.9290169540104894,66,0.08580973236873511
4,1.1217428516915824,0.6391708006791816,75,0.07150742114905578
5,1.172630240007721,0.6538838244279649,36,0.1042928885402141
6,1.1514699124154713,0.3917997200873598,84,0.19132097169127807
7,0.9123748093821793,0.410748836344302,69,0.07593147786049298
8,1.6862177466262884,1.0522467617040483,84,0.041738404508645285
9,0.976124895165989,0.49264425494967856,74,0.07008263039866383
10,1.0108280446511004,0.5841285246742199,91,0.07158763185843617
11,1.0544702536595711,0.6387748517730445,73,0.06616910818484534
12,1.555200389391182,0.5356739557869262,47,0.11819674168619419
13,1.0167083547906106,0.6064423423211305,114,0.04072635327658833
14,1.221740781945335,0.3368322716606341,20,0.07481659264247394
15,1.3700856540845747,0.6963795886382557,77,0.11776673773924956
16,1.25148722719614,0.4462967818198051,59,0.07095134196658168
17,1.1454629225586501,0.35978066059349,16,0.14148923563500748
18,2.3307922258305913,1.706918492886858,84,0.10218157055067818
19,1.266706857763207,0.5791309206657713,62,0.09301833971781695
20,1.1781902025630862,0.5825712435156444,76,0.09430468420850475
